istat_r,istat_p,istat_c,nome,xc,yc
6,31,31008,Gradisca d'Isonzo,13.480393600685,45.890254673805
6,31,31009,Grado,13.39696121408433,45.71796480490933
6,31,31010,Mariano del Friuli,13.46791778517826,45.912346427943476
6,31,31011,Medea,13.424376619006,45.918407636256
6,31,31012,Monfalcone,13.551715017649997,45.79085301649
6,31,31013,Moraro,13.503089488199999,45.92633742060742
6,31,31014,Mossa,13.541776627761667,45.94574314683833
6,31,31015,Romans d'Isonzo,13.441363305237363,45.892282814531875
6,31,31016,Ronchi dei Legionari,13.505886896098275,45.82130950350344
6,31,31017,Sagrado,13.511137338268,45.878149186978
6,31,31018,San Canzian d'Isonzo,13.472411990768798,45.76485039928801
6,31,31019,San Floriano del Collio-Števerjan,13.556087608122668,45.968627293846666
6,31,31020,San Lorenzo Isontino,13.526927269406897,45.93449359982931
6,31,31021,San Pier d'Isonzo,13.46003194052,45.84796672127778
6,31,31022,Savogna d'Isonzo-Sovodnje ob Soči,13.582904026416363,45.89247451401089
6,31,31023,Staranzano,13.512716715774452,45.77228199518029
6,31,31024,Turriaco,13.444138674089999,45.821796178324995
6,31,31025,Villesse,13.438029871152873,45.863491476150564
6,32,32001,Duino Aurisina-Devin Nabrežina,13.654189205571875,45.770984234824994
6,32,32002,Monrupino-Repentabor,13.805481297903226,45.71716168564999
6,32,32003,Muggia,13.778182638519297,45.59868614066316
6,32,32004,San Dorligo della Valle-Dolina,13.858149957565434,45.61167461191357
6,32,32005,Sgonico-Zgonik,13.748607328765061,45.737239100534936
6,32,32006,Trieste,13.766645694772384,45.66604468548871
6,93,93001,Andreis,12.616052695928204,46.21655297162693
6,93,93002,Arba,12.796044565719152,46.15130430206596
6,93,93004,Aviano,12.564538080785205,46.08999310520532
6,93,93005,Azzano Decimo,12.675409019069477,45.901487355060645
6,93,93006,Barcis,12.538078785764881,46.1901350938375
6,93,93007,Brugnera,12.554931007557522,45.903604445842475
6,93,93008,Budoia,12.52353841674243,46.06646893955455
6,93,93009,Caneva,12.446338924565305,46.002348808850336
6,93,93010,Casarsa della Delizia,12.823861006091178,45.94560108403236
6,93,93011,Castelnovo del Friuli,12.886575559297333,46.210338669425326
6,93,93012,Cavasso Nuovo,12.77952763212895,46.189456091584226
6,93,93013,Chions,12.75793886761293,45.867419152835346
6,93,93014,Cimolais,12.4538286480275,46.3223552749325
6,93,93015,Claut,12.53261161068934,46.28505066752437
6,93,93016,Clauzetto,12.901455895952564,46.25059733362821
6,93,93017,Cordenons,12.712287653657144,45.98419556945873
6,93,93018,Cordovado,12.895311203408335,45.849260021685005
6,93,93019,Erto e Casso,12.374311002962207,46.275153286741734
6,93,93020,Fanna,12.760333831290911,46.17379784643409
6,93,93021,Fiume Veneto,12.744921433417275,45.923526552339084
6,93,93022,Fontanafredda,12.539628223264227,45.9772187456813
6,93,93024,Frisanco,12.690520458191811,46.22827838700117
6,93,93025,Maniago,12.713595589678322,46.155904852400695
6,93,93026,Meduno,12.787682856197591,46.22433715329398
6,93,93027,Montereale Valcellina,12.639585811176723,46.13696833197585
6,93,93028,Morsano al Tagliamento,12.935239634542045,45.85630877953068
6,93,93029,Pasiano di Pordenone,12.61588883054785,45.86008312327474
6,93,93030,Pinzano al Tagliamento,12.933423968983783,46.180820836394595
6,93,93031,Polcenigo,12.47624808157899,46.032680531054616
6,93,93032,Porcia,12.603748811744232,45.946288852065386
6,93,93033,Pordenone,12.6499820627625,45.93873845623622
6,93,93034,Prata di Pordenone,12.576368978128457,45.869499344226824
6,93,93035,Pravisdomini,12.68276504162973,45.815183287345945
6,93,93036,Roveredo in Piano,12.618101987108568,46.00268354805999
6,93,93037,Sacile,12.50613643350171,45.94464256049914
6,93,93038,San Giorgio della Richinvelda,12.850771817194383,46.049558269801125
6,93,93039,San Martino al Tagliamento,12.865524130849122,46.02299823961579
6,93,93040,San Quirino,12.682091724563335,46.03531441679445
6,93,93041,San Vito al Tagliamento,12.850928579575424,45.9117444139822
6,93,93042,Sequals,12.848535931565435,46.15979101747531
6,93,93043,Sesto al Reghena,12.848213874959319,45.858774118870336
6,93,93044,Spilimbergo,12.879581791577781,46.10968302444545
6,93,93045,Tramonti di Sopra,12.72301155163819,46.30053860821305
6,93,93046,Tramonti di Sotto,12.809656318547825,46.28389681498447
6,93,93047,Travesio,12.854943023997592,46.202070155571086
6,93,93049,Vito d'Asio,12.94404526443897,46.28335782206765
6,93,93050,Vivaro,12.775874942318367,46.08951404970205
6,93,93051,Zoppola,12.758108214325409,45.96474569378934
6,93,93052,Vajont,12.694200612831821,46.14629502590909
6,93,93053,Valvasone Arzene,12.851350813984212,45.992260321561844
