Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"A. DE PILOSIO 14, 33019, TRICESIMO, UD",01333240933,INTER-MED SRL,UL-1,46.161058,13.211164
"ACCESSO ALLA VIA CARNIA 14/B, 33054, LIGNANO SABBIADORO, UD",02817810308,SUSHI UDINE S.R.L.,UL-3,45.693484,13.146545
"ADDOSSATO MAGAZZINO 69 S.N.C., 34123, TRIESTE, TS",00444720312,GENERALSPED S.R.L.,UL-2,45.636417,13.759651
"ADDOSSATO MAGAZZINO 69, 34123, TRIESTE, TS",01070120314,EGE EKSPRES ITALIA S.R.L.,UL-1,45.636417,13.759651
"ADRIA TERMINAL  MAGAZZ. 12-14, 34100, TRIESTE, TS",01304960105,C. STEINWEG - GMT S.R.L.,UL-4,45.650933,13.772496
"ADRIATICA 30, 33030, CAMPOFORMIDO, UD",02933420305,AG S.R.L.,UL-1,46.020164,13.162698
"ADS CAMPIOLO OVEST SNC, 33015, MOGGIO UDINESE, UD",02016640712,SARNI S.R.L.,UL-2,46.398793,13.168708
"ADS FAUGLIS SUD SNC, 33050, GONARS, UD",02016640712,SARNI S.R.L.,UL-3,45.881071,13.258647
"ADS ZUGLIANO EST SNC, 33050, POZZUOLO DEL FRIULI, UD",02016640712,SARNI S.R.L.,UL-4,46.015677,13.219282
"ADS ZUGLIANO OVEST KM 14, 33050, POZZUOLO DEL FRIULI, UD",02016640712,SARNI S.R.L.,UL-5,46.015677,13.219282
"AEROPORTO F.V.G., 34077, RONCHI DEI LEGIONARI, GO",00521770321,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,UL-4,45.826644,13.470089
"ALPE ADRIA 6, 33010, TAVAGNACCO, UD",01452770306,GALLAS GROUP S.R.L.,UL-2,46.112285,13.214401
"ANDRONA ALMERIGO D ESTE 9, 34139, TRIESTE, TS",01083450328,EUROURSINOSERVICE S.R.L.,UL-1,45.64166,13.818157
"ANDRONA CAMPO MARZIO 1/A, 34123, TRIESTE, TS",00714510559,PAGINE SI  ! S.P.A.,UL-1,45.643806,13.757237
"ANDRONA CAMPO MARZIO 12, 34123, TRIESTE, TS",90122650329,SOCIETA  SPORTIVA DILETTANTISTICA AUDACE FIGHT & FITNESS CLUB TRIESTE A RESPONSABILITA  LIMITATA,SEDE,45.644292,13.757337
"ANDRONA CAMPO MARZIO 2, 34123, TRIESTE, TS",00246480321,MONTI - S. A R.L.,UL-8,45.644376,13.757216
"ANDRONA CAMPO MARZIO 2/D, 34123, TRIESTE, TS",00163290273,BARBAGELATA ADRIATICA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.644376,13.757216
"ANDRONA CAMPO MARZIO 3 E 5, 34123, TRIESTE, TS",00984320325,OFFICINE BELLETTI S.R.L.,UL-11,45.643611,13.757291
"ANDRONA CAMPO MARZIO 3, 34123, TRIESTE, TS",01331390326,TEMMA S.R.L.,SEDE,45.643611,13.757291
"ANDRONA CAMPO MARZIO 9, 34123, TRIESTE, TS",01252420326,MAKOTO SOCIETA  SPORTIVA DILETTANTISTICA A RESPONSABILITA  LIMITATA,SEDE,45.643464,13.757639
"ANDRONA CHIUSA 4, 34121, TRIESTE, TS",03566260273,HOTEL URBAN S.R.L.,SEDE,45.64854,13.767749
"ANDRONA DEGLI ORTI 8, 34121, TRIESTE, TS",03960881005,VIMAR CROSS - S.R.L.,SEDE,45.647372,13.769064
"ANDRONA DEI COPPA 1 - P. 1, 34121, TRIESTE, TS",01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-5,45.648816,13.767414
"ANDRONA DEL PANE 3, 34121, TRIESTE, TS",01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.649697,13.769666
"ANDRONA DELLA FERRIERA 3, 34138, TRIESTE, TS",01335100325,EXPOPARTNER - SRLS,SEDE,45.645779,13.782442
"ANDRONA FERRIERA 1, 34138, TRIESTE, TS",00989460324,IDRO SERVICE CAMASSA - S.R.L.,SEDE,45.645591,13.782431
"ANDRONA S.EUFEMIA 2/B, 34100, TRIESTE, TS",00896740321,GREEN FASHION S.R.L.,UL-1,45.650933,13.772496
"ANGOLO VIALE VENEZIA VIA FIUME, 33033, CODROIPO, UD",02416840235,SPESA INTELLIGENTE S.P.A.,UL-1,45.96626,12.97148
"ANTONIO ALTAN 41/2, 33078, SAN VITO AL TAGLIAMENTO, PN",04304480249,FRIUL SYSTEM S.R.L.,UL-1,45.913756,12.8573
"ANTONIO BARDELLI 4, 33035, MARTIGNACCO, UD",09681280963,US FOOD NETWORK S.R.L.,UL-1,46.086351,13.181996
"ANTONIO GRAMSCI 28, 33059, FIUMICELLO VILLA VICENTINA, UD",00482620317,SARTORI ODILO SRL,UL-1,45.813704,13.395283
"ARCO DEL GRECALE 25, 33054, LIGNANO SABBIADORO, UD",04442560266,LUMA S.R.L.,UL-1,45.669376,13.109649
"ARCO DEL LIBECCIO 3, 33054, LIGNANO SABBIADORO, UD",01859160309,AGENZIA IMMOBILIARE AZZURRA S.R.L.,SEDE,45.665779,13.106724
"ARCO DEL LIBECCIO 32, 33054, LIGNANO SABBIADORO, UD",00313160301,MEUBLE  ZENITH S.R.L.,SEDE,45.665599,13.104103
"ARCO DEL LIBECCIO 40, 33054, LIGNANO SABBIADORO, UD",01339900936,ICA S.R.L.,UL-1,45.665683,13.103286
"ARCO DEL LIBECCIO 5, 33054, LIGNANO SABBIADORO, UD",04606580274,MARINA BLU GESTIONI S.R.L.,UL-1,45.665549,13.106238
"ARCO DEL LIBECCIO 5/C, 33054, LIGNANO SABBIADORO, UD",02146190273,RIRA INIZIATIVE TURISTICHE S.R.L.,UL-2,45.665549,13.106238
"ARCO DEL LIBECCIO 58, 33054, LIGNANO SABBIADORO, UD",01468910300,AGENZIA GAMMA S.R.L.,UL-1,45.666008,13.101595
"ARCO DEL MAESTRALE 5, 33054, LIGNANO SABBIADORO, UD",01825670308,FLAVIA S.R.L.,SEDE,45.670032,13.111655
"ARCO DELLA PARANZA 31, 33054, LIGNANO SABBIADORO, UD",02382640304,EVOLUTA S.R.L.,SEDE,45.669898,13.108056
"ARCO DELLA PARANZA 6/A, 33054, LIGNANO SABBIADORO, UD",02644990307,SUMMER NOVA SRL,UL-1,45.667522,13.10845
"AREA ARTIGIANALE 14, 33077, SACILE, PN",00067410316,FERROJULIA S.R.L.,UL-1,45.954053,12.508961
"AREA DI SERV. CAMPIOLO OVEST //, 33015, MOGGIO UDINESE, UD",02538160033,AUTOGRILL ITALIA S.P.A.,UL-2,46.398793,13.168708
"AREA SCIENCE PARK PADRICIANO 99, 34149, TRIESTE, TS",05335180286,CORVALLIS S.R.L.,UL-1,45.656934,13.829255
"AREA SCIENCE PARK, PAD A.LAB.1, 34170, GORIZIA, GO",01058210319,ORION POWER SRL,UL-1,45.915873,13.604769
"AREA SCIENCE PARK, PADRICIANO 99, 34149, TRIESTE, TS",02333530307,IDEA PROTOTIPI SRL,UL-1,45.656934,13.829255
"AREA SCOPERTA ADDOSSATO  EX OF SNC, 34123, TRIESTE, TS",01112650310,B.B.C. SERVICE SRL,UL-1,45.642136,13.756894
"ARMENTAREZZA 3, 33040, PREMARIACCO, UD",08743760012,PRODUCTION FURNITURE INTERNATIONAL S.P.A.,UL-2,46.033371,13.391719
"ARRIVO SEGGIOVIA TREMOL 1 SN, 33081, AVIANO, PN",01702270933,ARNERI SRL,SEDE,46.109364,12.49843
"ARRIVO SEGGIOVIA TREMOL 2 SNC, 33081, AVIANO, PN",01702270933,ARNERI SRL,UL-1,46.109364,12.49843
"AURISINA 144, 34011, DUINO AURISINA, TS",01217380326,LA VASQUES S.R.L.,SEDE,45.775393,13.602621
"AURISINA 153 L, 34011, DUINO AURISINA, TS",00553460312,AURORA S.R.L.,UL-1,45.775393,13.602621
"AURISINA 77, 34011, DUINO-AURISINA, TS",01199990324,EDILJAN SRL,SEDE,45.749693,13.65585
"AURISINA 97, 34011, DUINO-AURISINA, TS",01256970326,BIRRERIA BUNKER S.R.L.,SEDE,45.749693,13.65585
"AURISINA CAVE 23/H, 34011, DUINO-AURISINA, TS",01103110324,FRANDOLI GROUP S.R.L.,SEDE,45.752421,13.662902
"AURISINA CAVE 35/C, 34013, DUINO-AURISINA, TS",00664100328,ROLICH - S.R.L.,SEDE,45.775393,13.602621
"AURISINA CAVE 35/G, 34011, DUINO-AURISINA, TS",01188150328,AURISINA QUARRY S.R.L.,UL-1,45.757888,13.656968
"AURISINA CAVE 44/E3, 34011, DUINO-AURISINA, TS",04507990150,BRT S.P.A.,UL-2,45.7708,13.630654
"AURISINA CAVE 46, 34011, DUINO AURISINA, TS",01333670329,M ITALIA S.R.L.S.,SEDE,45.775393,13.602621
"AURISINA CAVE 57/B, 34011, DUINO AURISINA, TS",01264970326,Q1 INTERNATIONAL S.R.L.,UL-1,45.761155,13.652279
"AURISINA CAVE 63/A, 34011, DUINO-AURISINA, TS",00820680320,CLIS S.R.L.,SEDE,45.775393,13.602621
"AURISINA CAVE 74, 34011, DUINO-AURISINA, TS",00044700326,SOCIETA  PIZZUL - S.R.L. - MARMI - AURISINA,SEDE,45.755368,13.661563
"AURISINA CAVE 78/A, 34011, DUINO-AURISINA, TS",00062810320,ACQUEDOTTO DEL CARSO S.P.A. - KRASKI VODOVOD D.D.,UL-1,45.754462,13.662077
"AURISINA CENTRO 74, 34011, DUINO-AURISINA, TS",00820500320,FULVIO BENVENUTI - SOCIETA  A RESPONSABILITA  LIMITATA IN FORMA ABBREVIATA F.B. - SOCIETA  A RESPONSABILITA  LIMITATA,SEDE,45.753872,13.659714
"AURISINA MARE 153, 34011, DUINO AURISINA, TS",01327660328,ALMOST BLUE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.775393,13.602621
"AURISINA STAZIONE ., 34011, DUINO-AURISINA, TS",01066910322,NOEMI S.R.L.,SEDE,45.773148,13.623477
"AUT. A23 UDINE-TARVISIO -, 33010, MALBORGHETTO VALBRUNA, UD",09187300158,NUOVA SIDAP  S.R.L.,UL-8,46.502378,13.484906
"AUTOP. GORIZIA - PADIGLIONE A 19, 34170, GORIZIA, GO",01216690311,GB SERVICE SRL,SEDE,45.940181,13.620175
"AUTOPORTO CAPANNONE B ENTRATA 6, 34170, GORIZIA, GO",01737410306,TESAN - TELEVITA S.R.L.,UL-1,45.918152,13.618158
"AUTOPORTO DI FERNETTI ., 34016, MONRUPINO, TS",00966620320,PARSIMPEX GROUP S.R.L.,SEDE,45.699203,13.823146
"AUTOPORTO DI FERNETTI 26, 34016, MONRUPINO, TS",01249630326,AKIRASLOT - SOCIETA  A RESPONSABILITA  LIMITATA,SEDE,45.699203,13.823146
"AUTOPORTO DI FERNETTI S.N., 34016, MONRUPINO, TS",00616000329,DOTTOR DE PALO S.R.L.,UL-8,45.700755,13.825948
"AUTOPORTO DI FERNETTI S.N.C., 34016, MONRUPINO, TS",01200440327,NEC SERVIZI S.R.L.,SEDE,45.700755,13.825948
"AUTOPORTO DI FERNETTI SNC, 34016, MONRUPINO, TS",01180090324,BTP3 S.R.L.S.,SEDE,45.70075500000001,13.825947999999999
"AUTOPORTO DI FERNETTI, 34016, MONRUPINO, TS",00707940326,DEAR - IMPORT EXPORT DI ELISABETTA CRISMANCICH & C. - S. A R.L.,SEDE,45.699203,13.823146
"AUTOPORTO DI FERNETTI, 34100, TRIESTE, TS",01105460321,CASA DI SPEDIZIONI SHILLTRANS S.R.L.,SEDE,45.650933,13.772496
"AUTOPORTO DI GORIZIA PAD. B, 34170, GORIZIA, GO",01125630317,NORD COMPOSITES ITALIA S.R.L.,SEDE,45.915873,13.604769
"AUTOPORTO DI GORIZIA PAD.A N.7 P.20/21, 34170, GORIZIA, GO",01142440310,FENIX INTERNATIONAL SRL,UL-1,45.940181,13.620175
"AUTOPORTO DI GORIZIA S.N.C., 34170, GORIZIA, GO",00566630323,TELEVITA - SOCIETA  PER AZIONI,UL-1,45.915873,13.604769
"AUTOPORTO DI GORIZIA SN, 34170, GORIZIA, GO",01190200319,EMMECI SRL,UL-1,45.915873,13.604769
"AUTOPORTO DI GORIZIA, 34170, GORIZIA, GO",00509220315,CEM-TIR ITALIANA S.R.L.,SEDE,45.915873,13.604769
"AUTOPORTO DI GORIZIA, PAD.  A  6, 34170, GORIZIA, GO",01098430315,CIATRANS S.R.L.,SEDE,45.915873,13.604769
"AUTOPORTO DOGANALE SNC, 33016, PONTEBBA, UD",02850420304,BORDER TRANS SERVICE S.R.L.,UL-1,46.506451,13.306246
"AUTOPORTO FERNETTI 1, 34016, MONRUPINO, TS",00662130277,S.D.C. SERVIZIO DOGANALE CONTAINERS S.R.L. CON SIGLA S.D.C. S.R.L.,UL-3,45.699203,13.823146
"AUTOPORTO FERNETTI B16 A IP, 34016, MONRUPINO, TS",00210920328,ALFA SPEDIZIONI SOCIETA  A RESPONSABILITA  LIMITATA,SEDE,45.699203,13.823146
"AUTOPORTO FERNETTI SNC, 34016, MONRUPINO, TS",01094560321,ELEN-LUX-FIVE S.R.L.,SEDE,45.699203,13.823146
"AUTOPORTO FERNETTI, 34016, MONRUPINO, TS",00837370329,DIVOSPED S.R.L.,SEDE,45.69920299999999,13.823146
