x,y,z
13.469,45.844,-1
13.469,45.948,1
13.469,45.949,1
13.469,45.956,1
13.469,45.959,34
13.469,45.96,55
13.469,45.989,55
13.47,45.822,0
13.47,45.823,44
13.47,45.824,9
13.47,45.827,6
13.47,45.904,-1
13.47,45.947,16
13.47,45.957,1
13.47,45.958,-105
13.47,45.964,2
13.471,45.823,6
13.471,45.844,0
13.471,45.881,5
13.471,45.894,7
13.471,45.903,-1
13.471,45.947,6
13.471,45.948,3
13.471,45.958,-112
13.471,45.959,-3
13.472,45.82,10
13.472,45.823,1
13.472,45.843,1
13.472,45.956,0
13.472,45.958,1
13.472,45.959,-49
13.472,46.511,36
13.473,45.822,0
13.473,45.823,-1
13.473,45.825,1
13.473,45.843,2
13.473,45.884,2
13.473,45.894,7
13.473,45.951,-1
13.473,45.959,5
13.473,45.96,-4
13.473,45.961,-2
13.474,45.821,1
13.474,45.822,-1
13.474,45.843,-2
13.474,45.883,-1
13.474,45.961,1
13.474,46.388,1
13.474,46.389,5
13.474,46.511,-3
13.475,45.82,6
13.475,45.821,-3
13.475,45.823,5
13.475,45.858,0
13.475,45.86,12
13.475,45.883,-1
13.475,45.957,5
13.476,45.802,-2
13.476,45.82,0
13.476,45.821,26
13.476,45.823,-9
13.476,45.859,0
13.476,45.893,0
13.476,45.949,-2
13.477,45.821,-1
13.477,45.822,2
13.477,45.859,1
13.478,45.82,-2
13.478,45.822,3
13.478,45.867,5
13.478,45.935,19
13.478,45.961,2
13.478,46.046,-104
13.479,45.869,2
13.479,45.888,3
13.479,46.031,-78
13.479,46.113,0
13.48,45.832,20
13.48,45.866,-104
13.48,45.867,-9
13.48,45.881,4
13.48,45.884,1
13.48,46.045,-14
13.48,46.116,2
13.481,45.866,0
13.481,45.867,75
13.481,45.882,4
13.481,45.884,-2
13.481,46.111,-1
13.481,46.113,-1
13.482,45.884,3
13.482,45.922,1
13.482,46.122,-1
13.483,46.114,-3
13.484,45.836,-1
13.484,45.855,-1
13.484,45.856,-1
13.484,45.874,5
13.484,45.881,0
13.484,46.117,-1
13.484,46.126,1
13.485,45.875,-18
13.485,45.958,1
13.485,46.115,-1
13.485,46.121,0
13.485,46.127,-17
13.485,46.171,-1
13.485,46.173,-104
13.485,46.502,10
13.486,45.837,-3
13.486,45.877,0
13.486,46.127,-104
13.487,45.851,5
13.487,45.873,0
13.487,45.877,-104
13.487,45.884,1
13.487,45.889,5
13.487,46.12,1
13.488,45.839,-30
13.489,45.839,1
13.489,45.841,-1
13.489,45.846,-104
13.489,45.897,-2
13.489,46.492,0
13.49,45.839,-1
13.49,45.841,16
13.491,46.489,4
13.492,45.841,0
13.492,45.927,3
13.492,46.119,2
13.492,46.491,-6
13.493,46.046,1
13.494,45.806,-3
13.494,45.89,-3
13.495,45.886,2
13.495,45.89,-2
13.496,45.834,5
13.496,45.836,10
13.496,45.903,10
13.497,45.808,10
13.497,45.835,6
13.497,45.836,3
13.497,45.889,1
13.497,45.89,0
13.497,45.891,5
13.497,45.931,6
13.498,45.803,5
13.498,45.824,0
13.498,45.834,0
13.499,45.821,0
13.499,45.823,20
13.499,45.824,0
13.499,45.827,-3
13.499,45.873,0
13.499,45.887,-3
13.5,45.804,-2
13.5,45.805,1
13.5,45.822,-1
13.5,45.823,-1
13.5,45.826,-3
13.5,45.827,-1
13.5,45.887,1
13.5,45.888,-37
13.5,45.892,31
13.501,45.794,5
13.501,45.804,-1
13.501,45.806,-104
13.501,45.82,-20
13.501,45.822,75
13.501,45.823,3
13.501,45.824,-5
13.501,45.888,-103
13.501,45.89,0
13.501,45.946,19
13.502,45.791,-2
13.502,45.803,-1
13.502,45.806,137
13.502,45.827,-46
13.502,45.829,1
13.502,45.832,2
13.502,45.889,4
13.502,45.89,2
13.502,46.03,12
13.503,45.79,-3
13.503,45.791,7
13.503,45.822,3
13.503,45.827,-48
13.503,45.889,47
13.503,45.89,-37
13.503,45.891,0
13.504,45.791,-9
13.504,45.792,0
13.504,45.793,-4
13.504,45.806,-48
13.504,45.827,7
13.504,45.889,0
13.504,45.89,-49
13.505,45.79,0
13.505,45.806,-6
13.505,45.825,-104
13.505,45.827,-1
13.505,46.034,2
13.506,45.793,0
13.506,45.794,7
13.506,45.823,0
13.506,45.831,-2
13.506,45.841,-2
13.506,45.938,10
13.508,45.822,3
13.508,45.884,2
13.509,45.794,-9
13.509,45.822,-1
13.509,45.835,0
13.51,43.621,0
13.51,45.832,1
13.51,45.898,2
13.511,45.812,1
13.511,45.815,-6
13.511,45.823,29
13.512,45.797,1
13.512,45.811,-1
13.512,45.814,0
13.512,45.818,8
13.513,45.814,6
13.513,45.816,1
13.513,45.818,16
13.514,45.793,20
13.514,45.814,3
13.514,45.833,1
13.514,45.94,-104
13.514,45.942,63
13.515,45.793,2
13.515,45.824,0
13.515,46.075,12
13.515,46.119,0
13.516,45.793,22
13.516,45.813,2
13.516,45.816,6
13.516,45.902,10
13.517,45.793,0
13.517,45.805,0
13.517,45.806,2
13.517,45.808,5
13.517,45.811,-2
13.518,45.796,13
13.518,45.804,-1
13.518,45.806,1
13.518,45.807,-33
13.518,45.814,-3
13.518,45.912,5
13.518,45.938,-1
13.518,46.507,1
13.519,45.766,-1
13.519,45.793,-4
13.519,45.795,33
13.519,45.809,0
13.519,45.811,2
13.519,45.814,-2
13.519,45.815,-14
13.52,45.794,25
13.52,45.798,3
13.52,45.812,1
13.52,45.814,28
13.52,45.824,-1
13.52,45.902,-1
13.52,45.903,-1
13.521,45.793,8
13.521,45.794,10
13.521,45.795,1
13.521,45.81,-4
13.521,46.12,-104
13.522,45.811,7
13.523,45.798,24
13.523,45.929,1
13.523,46.48,2
13.523,46.508,4
13.524,45.797,1
13.524,45.798,1
13.524,45.802,75
13.524,45.809,84
13.524,45.81,-2
13.524,45.812,35
13.525,45.791,8
13.525,45.792,2
13.525,45.796,0
13.525,45.798,2
13.525,45.809,1
13.525,45.81,18
13.525,45.811,4
13.526,45.789,21
13.526,45.793,20
13.526,45.794,1
13.526,45.795,4
13.526,45.796,22
13.526,45.809,-3
13.526,45.81,-18
13.526,45.811,-104
13.526,45.813,-7
13.527,45.797,1
13.527,45.798,1
13.527,45.799,3
13.527,45.807,2
13.527,45.808,1
13.527,45.809,12
13.527,45.811,7
13.527,45.813,19
13.527,45.915,13
13.527,45.928,-1
13.527,45.933,-104
13.528,45.775,8
13.528,45.799,1
13.528,45.81,-57
13.529,45.803,2
13.529,45.806,-37
13.529,45.808,-4
13.529,45.811,39
13.529,45.812,2
13.529,45.934,1
13.53,45.777,2
13.53,45.786,11
13.53,45.807,87
13.53,45.808,3
13.53,45.809,-70
13.53,45.81,2
13.531,45.797,-6
13.531,45.801,-105
13.531,45.807,-14
13.531,45.808,-41
13.531,45.809,-83
13.531,45.81,2
13.531,45.811,3
13.531,45.91,55
13.531,45.933,1
13.532,45.799,1
13.532,45.8,2
13.532,45.805,2
13.532,45.807,17
13.532,45.808,-12
13.532,45.809,-75
13.532,45.81,-3
13.532,45.811,-1
13.532,46.119,2
13.533,45.795,-24
13.533,45.805,-32
13.533,45.807,7
13.533,45.808,-3
13.533,45.809,21
13.533,45.81,8
13.533,45.811,1
13.534,45.799,2
13.534,45.805,0
13.534,45.807,0
13.534,45.808,41
13.534,45.809,2
13.534,45.81,4
13.534,46.159,-104
13.534,46.509,-104
13.535,45.797,75
13.535,45.807,-1
13.535,45.808,-4
13.535,45.809,3
13.535,45.81,0
13.535,46.507,-2
13.536,45.782,1
13.536,45.788,3
13.536,45.804,9
13.536,45.807,-1
13.536,45.808,1
13.536,45.913,55
13.537,45.794,0
13.537,45.795,0
13.537,46.51,-20
13.538,45.808,13
13.539,45.803,1
13.539,45.805,16
13.539,45.807,-4
13.539,45.843,-1
13.539,45.846,-103
13.54,45.804,10
13.54,45.805,-14
13.541,45.802,48
13.541,45.804,1
13.541,45.807,0
13.542,45.937,-1
13.543,45.802,48
13.543,45.804,-23
13.543,45.806,1
13.544,45.804,-1
13.544,45.806,3
13.545,45.807,0
13.546,45.799,0
13.546,45.801,27
13.546,45.807,-20
13.547,45.802,8
13.548,45.931,-5
13.548,45.938,-104
13.548,46.507,-29
13.548,46.508,75
13.548,46.511,0
13.549,45.802,-104
13.549,45.93,1
13.55,45.799,2
13.55,46.506,0
13.552,45.802,23
13.552,45.804,-7
13.552,45.86,0
13.553,45.802,-1
13.553,45.804,7
13.553,45.931,0
13.553,46.465,-46
13.554,45.796,9
13.555,45.935,2
13.556,45.799,-6
13.556,45.801,5
13.557,45.793,4
13.557,45.799,-4
13.558,46.507,0
13.559,45.797,2
13.559,45.799,1
13.56,45.793,0
13.56,45.794,5
13.56,45.797,0
13.56,45.801,4
13.561,45.797,0
13.561,45.801,6
13.563,45.799,0
13.563,45.935,2
13.564,45.797,2
13.564,45.799,-1
13.564,45.935,-40
13.566,45.792,9
13.566,45.797,2
13.566,45.799,1
13.566,46.506,2
13.569,45.792,1
13.569,46.438,-5
13.57,45.934,75
13.57,46.442,3
13.571,45.901,-104
13.571,45.927,-1
13.571,46.442,47
13.571,46.502,4
13.571,46.505,2
13.571,46.506,1
13.572,45.903,-89
13.572,45.927,0
13.572,46.501,4
13.572,46.506,1
13.573,46.156,-104
13.573,46.505,-104
13.574,45.789,-2
13.574,46.505,-41
13.575,45.936,-104
13.575,46.505,-1
13.576,46.505,14
13.576,46.506,1
13.577,45.929,0
13.577,45.967,0
13.577,46.127,-104
13.577,46.505,8
13.578,45.936,-17
13.578,46.504,36
13.578,46.505,-17
13.578,46.506,-2
13.579,46.505,1
13.579,46.506,-72
13.58,46.504,76
13.58,46.506,1
13.581,45.793,-1
13.581,46.504,-13
13.582,46.504,0
13.583,46.504,-1
13.584,43.197,0
13.584,45.79,48
13.584,46.504,3
13.585,45.911,1
13.585,45.913,-2
13.585,45.982,-104
13.585,46.505,-6
13.586,45.913,-2
13.586,46.504,0
13.588,45.78,1
13.588,45.891,2
13.588,45.982,2
13.588,46.506,7
13.589,45.781,-1
13.589,45.91,-6
13.589,45.915,27
13.589,45.916,5
13.589,45.917,2
13.59,45.91,-6
13.59,45.911,-6
13.59,45.917,25
13.59,46.502,1
13.59,46.504,0
13.591,45.937,5
13.592,45.912,1
13.593,45.914,1
13.594,45.775,-9
13.594,45.913,0
13.594,45.933,-2
13.595,45.913,4
13.595,45.915,1
13.595,45.916,-1
13.597,45.914,1
13.597,45.916,-7
13.597,45.918,2
13.597,45.939,0
13.597,45.942,45
13.597,45.978,0
13.598,45.918,4
13.598,45.941,-1
13.599,45.914,73
13.6,45.776,1
13.6,45.919,19
13.6,45.923,-4
13.6,45.933,73
13.601,45.914,-1
13.601,45.933,3
13.601,45.946,32
13.602,45.934,75
13.602,46.51,-1
13.603,45.775,-25
13.603,45.923,54
13.603,45.924,-40
13.603,45.934,6
13.603,45.938,1
13.604,45.772,18
13.604,45.913,6
13.605,45.776,-48
13.605,45.916,4
13.605,45.924,2
13.605,45.93,2
13.605,45.942,2
13.605,45.946,0
13.606,45.913,-4
13.606,45.936,-1
13.607,45.927,0
13.607,45.931,-3
13.607,45.933,-20
13.607,45.935,4
13.607,45.936,-1
13.607,45.944,40
13.607,46.506,13
13.608,45.916,0
13.608,45.933,-19
13.608,46.144,1
13.609,45.921,1
13.609,45.938,2
13.61,45.924,2
13.61,45.933,0
13.61,45.941,1
13.61,45.943,0
13.611,45.905,1
13.611,45.906,-1
13.611,45.913,73
13.611,45.937,1
13.611,45.98,3
13.612,45.92,4
13.612,45.923,-2
13.612,45.937,1
13.612,45.938,0
13.612,45.939,-2
13.612,45.95,-104
13.612,45.952,-1
13.613,45.775,11
13.613,45.921,-1
13.613,45.922,0
13.613,45.923,1
13.613,45.924,34
13.613,45.925,7
13.613,45.931,-2
13.613,45.935,0
13.613,45.936,-40
13.613,45.938,-69
13.613,45.942,-1
13.613,46.52,10
13.614,45.923,-3
13.614,45.924,10
13.614,45.925,-4
13.614,45.929,1
13.614,45.936,2
13.614,45.937,0
13.614,45.939,3
13.614,45.94,-4
13.615,45.926,0
13.615,45.941,36
13.615,45.956,-1
13.616,45.921,1
13.616,45.923,1
13.616,45.925,48
13.616,45.926,-5
13.616,45.934,-1
13.616,45.938,3
13.616,45.939,0
13.616,45.94,-2
13.616,45.941,5
13.616,45.942,12
13.616,45.943,-30
13.617,45.924,4
13.617,45.926,1
13.617,45.94,26
13.617,45.941,11
13.617,45.942,3
13.618,45.918,6
13.618,45.924,-2
13.618,45.925,1
13.618,45.93,-4
13.618,45.938,-1
13.618,45.941,-3
13.618,45.945,-1
13.618,45.949,1
13.619,45.926,4
13.619,45.94,4
13.619,45.941,-1
13.619,45.942,2
13.619,45.943,11
13.619,46.515,-1
13.62,45.926,0
13.62,45.927,1
13.62,45.932,-1
13.62,45.94,13
13.62,45.941,-5
13.62,45.942,-5
13.62,45.943,-27
13.62,45.944,2
13.62,45.955,3
13.621,45.932,-104
13.621,45.94,-2
13.621,45.941,4
13.621,45.942,3
13.621,45.943,-61
13.621,45.944,0
13.622,45.928,10
13.622,45.929,4
13.622,45.942,-1
13.622,45.944,-32
13.622,45.945,-9
13.622,45.946,8
13.622,45.954,1
13.622,46.175,-104
13.623,45.773,-1
13.623,45.929,-1
13.623,45.939,-1
13.623,45.94,0
13.623,45.942,5
13.623,45.944,12
13.623,45.945,-2
13.623,45.946,-105
13.623,45.947,2
13.624,45.929,0
13.624,45.93,1
13.624,45.941,5
13.624,45.943,2
13.624,45.944,1
13.624,45.945,-1
13.624,45.947,-48
13.625,45.774,-100
13.625,45.929,0
13.625,45.93,-1
13.625,45.94,-2
13.625,45.941,1
13.625,45.942,1
13.625,45.944,-1
13.625,45.945,-2
13.625,45.946,-1
13.625,45.948,-6
13.625,45.951,10
13.626,45.938,0
13.626,45.942,-1
13.626,45.943,7
13.626,45.945,-1
13.626,45.946,0
13.626,45.948,1
13.627,45.937,1
13.627,45.942,1
13.627,45.95,-104
13.628,45.773,1
13.628,45.774,0
13.628,45.938,1
13.628,45.943,2
13.628,45.95,-1
13.629,45.934,0
13.629,45.936,1
13.629,45.942,1
13.63,45.948,0
13.631,45.771,40
13.631,45.936,-2
13.631,45.952,1
13.632,45.946,-1
13.632,45.957,-2
13.633,45.955,0
13.634,45.959,11
13.635,45.963,51
13.635,45.964,-3
13.635,46.497,1
13.636,45.772,1
13.638,45.766,4
13.638,45.771,-72
13.639,45.771,4
13.641,45.773,7
13.642,45.763,171
13.647,45.778,1
13.648,45.771,56
13.656,45.75,-2
13.657,45.758,1
13.657,45.784,0
13.658,45.754,-2
13.659,45.786,10
13.66,45.786,-5
13.661,45.752,1
13.662,45.754,1
13.665,46.496,6
13.669,46.493,1
13.67,45.751,-203
13.671,45.751,2
13.672,45.751,3
13.674,45.75,3
13.686,45.751,-48
13.693,45.735,35
13.698,37.989,1
13.711,45.712,60
13.712,45.705,15
13.714,45.707,-15
13.718,45.704,-72
13.719,45.704,5
13.724,45.599,-6
13.724,45.6,4
13.726,45.598,0
13.73,45.708,-2
13.732,45.708,4
13.733,45.707,1
13.733,45.708,-21
13.734,45.696,3
13.734,45.707,-104
13.735,45.702,-5
13.736,45.708,1
13.737,45.694,1
13.738,45.694,10
13.739,45.693,1
13.739,45.701,1
13.74,45.692,3
13.741,45.693,-1
13.742,45.69,-9
13.745,45.688,-5
13.746,45.64,21
13.747,45.641,4
13.747,45.687,1
13.747,45.736,-104
13.748,45.686,-1
13.749,45.737,67
13.75,45.64,0
13.75,45.641,4
13.75,45.644,2
13.752,45.606,75
13.752,45.64,1
13.752,45.645,7
13.752,45.647,-1
13.752,45.683,-72
13.753,45.607,23
13.753,45.681,-121
13.754,45.643,1
13.754,45.645,-9
13.754,45.647,1
13.754,45.679,10
13.754,45.68,-1
13.755,45.638,18
13.755,45.643,-3
13.755,45.644,2
13.755,45.645,-2
13.755,45.648,5
13.755,45.678,0
13.755,45.68,4
13.756,45.641,5
13.756,45.643,1
13.756,45.644,2
13.756,45.647,-2
13.756,45.649,1
13.756,45.677,1
13.756,45.678,2
13.756,45.683,0
13.757,45.642,-247
13.757,45.643,5
13.757,45.644,52
13.757,45.679,0
13.758,45.638,5
13.758,45.643,-1
13.758,45.644,33
13.758,45.645,31
13.758,45.679,2
13.759,45.629,34
13.759,45.645,2
13.76,45.636,0
13.76,45.642,0
13.76,45.644,2
13.76,45.645,0
13.76,45.646,5
13.76,45.649,1
13.761,45.64,1
13.761,45.641,2
13.761,45.645,1
13.761,45.646,11
13.761,45.647,-5
13.762,45.632,1
13.762,45.639,116
13.762,45.642,-1
13.762,45.646,1
13.762,45.647,-2
13.762,45.725,2
13.763,45.639,4
13.763,45.645,-148
13.763,45.646,-48
13.763,45.647,51
13.763,45.648,4
13.763,45.67,1
13.763,45.68,9
13.764,45.604,3
13.764,45.639,-1
13.764,45.647,18
13.764,45.648,3
13.764,45.669,1
13.764,45.671,-1
13.765,45.598,0
13.765,45.645,2
13.765,45.648,15
13.765,45.649,1
13.765,45.67,-104
13.766,45.604,0
13.766,45.637,5
13.766,45.641,75
13.766,45.646,2
13.766,45.647,-6
13.766,45.648,12
13.766,45.649,10
13.766,45.665,-20
13.766,45.667,-29
13.767,45.597,-3
13.767,45.603,6
13.767,45.604,34
13.767,45.605,-2
13.767,45.607,-1
13.767,45.639,0
13.767,45.644,0
13.767,45.645,0
13.767,45.647,2
13.767,45.648,-74
13.767,45.649,102
13.767,45.65,44
13.767,45.661,7
13.768,45.6,-104
13.768,45.603,-66
13.768,45.604,5
13.768,45.639,1
13.768,45.642,-12
13.768,45.646,31
13.768,45.647,0
13.768,45.648,13
13.768,45.649,3
13.768,45.65,145
13.768,45.654,0
13.769,45.602,75
13.769,45.603,-38
13.769,45.604,1
13.769,45.638,0
13.769,45.639,3
13.769,45.643,-34
13.769,45.646,12
13.769,45.647,-4
13.769,45.648,-7
13.769,45.649,3
13.769,45.65,-31
13.769,45.651,81
13.769,45.654,80
13.769,45.667,-9
13.77,45.602,-1
13.77,45.603,0
13.77,45.604,-48
13.77,45.637,1
13.77,45.639,8
13.77,45.649,4
13.77,45.65,30
13.77,45.651,-20
13.77,45.652,54
13.77,45.653,2
13.77,45.654,3
13.77,45.657,1
13.77,45.662,0
13.77,45.663,6
13.77,45.664,75
13.77,45.667,1
13.771,45.602,-1
13.771,45.604,2
13.771,45.639,1
13.771,45.642,-3
13.771,45.65,13
13.771,45.651,39
13.771,45.652,-71
13.771,45.653,153
13.771,45.654,-10
13.771,45.655,28
13.771,45.656,2
13.771,45.659,-20
13.771,45.66,9
13.771,45.664,-119
13.771,45.665,3
13.771,45.667,-1
13.771,45.669,2
13.772,45.604,-2
13.772,45.638,2
13.772,45.649,-1
13.772,45.65,68
13.772,45.651,-224
13.772,45.652,1
13.772,45.653,0
13.772,45.654,7
13.772,45.655,5
13.772,45.656,7
13.772,45.658,55
13.772,45.659,-9
13.772,45.661,2
13.772,45.665,0
13.772,45.667,7
13.773,45.598,-1
13.773,45.603,1
13.773,45.604,-2
13.773,45.64,-3
13.773,45.645,1
13.773,45.649,4
13.773,45.65,117
13.773,45.651,0
13.773,45.652,2
13.773,45.653,13
13.773,45.654,-104
13.773,45.655,-102
13.773,45.656,66
13.773,45.657,0
13.773,45.658,4
13.773,45.659,0
13.773,45.66,-1
13.773,45.666,0
13.773,45.667,-104
13.774,45.637,14
13.774,45.64,12
13.774,45.641,1
13.774,45.642,3
13.774,45.645,2
13.774,45.646,0
13.774,45.649,1
13.774,45.65,-181
13.774,45.651,-29
13.774,45.652,5
13.774,45.653,0
13.774,45.654,-16
13.774,45.655,5
13.774,45.656,1
13.774,45.658,0
13.774,45.665,0
13.774,45.668,2
13.774,45.688,1
13.774,45.691,0
13.775,45.64,5
13.775,45.645,4
13.775,45.647,6
13.775,45.649,22
13.775,45.65,-47
13.775,45.651,10
13.775,45.652,52
13.775,45.653,-13
13.775,45.654,2
13.775,45.655,1
13.775,45.656,-1
13.775,45.658,-1
13.776,45.64,-10
13.776,45.641,-2
13.776,45.646,0
13.776,45.648,-105
13.776,45.649,-5
13.776,45.65,-12
13.776,45.651,7
13.776,45.652,8
13.776,45.653,-78
13.776,45.654,-2
13.776,45.655,1
13.776,45.656,3
13.776,45.657,3
13.776,45.666,1
13.776,45.69,0
13.777,45.586,2
13.777,45.599,0
13.777,45.601,0
13.777,45.637,-1
13.777,45.638,-11
13.777,45.643,-2
13.777,45.649,-6
13.777,45.65,2
13.777,45.651,22
13.777,45.652,4
13.777,45.653,19
13.777,45.654,0
13.777,45.655,0
13.777,45.657,1
13.777,45.67,-1
13.777,45.69,1
13.778,45.628,-23
13.778,45.637,-29
13.778,45.64,-9
13.778,45.642,3
13.778,45.646,1
13.778,45.647,-16
13.778,45.649,4
13.778,45.65,-12
13.778,45.651,0
13.778,45.652,0
13.778,45.653,0
13.778,45.654,5
13.778,45.655,0
13.778,45.663,1
13.779,45.627,43
13.779,45.631,1
13.779,45.633,-6
13.779,45.637,0
13.779,45.641,-104
13.779,45.642,9
13.779,45.643,-70
13.779,45.644,-41
13.779,45.645,0
13.779,45.647,4
13.779,45.648,-71
13.779,45.649,-40
13.779,45.65,11
13.779,45.651,1
13.779,45.652,-1
13.779,45.653,66
13.779,45.654,2
13.779,45.655,-1
13.779,45.665,1
13.779,45.673,6
13.779,45.695,0
13.78,45.623,-1
13.78,45.634,84
13.78,45.642,-2
13.78,45.643,2
13.78,45.644,2
13.78,45.645,-2
13.78,45.646,18
13.78,45.647,-4
13.78,45.648,82
13.78,45.649,-1
13.78,45.651,10
13.78,45.652,33
13.78,45.653,-1
13.78,45.654,-1
13.78,45.655,-1
13.78,45.659,3
13.781,45.623,-3
13.781,45.628,-36
13.781,45.63,-9
13.781,45.631,-9
13.781,45.632,8
13.781,45.634,-81
13.781,45.635,6
13.781,45.637,4
13.781,45.638,2
13.781,45.64,0
13.781,45.642,4
13.781,45.643,-2
13.781,45.645,2
13.781,45.646,0
13.781,45.648,16
13.781,45.649,0
13.781,45.651,1
13.781,45.652,1
13.781,45.653,2
13.781,45.654,7
13.781,45.655,29
13.781,45.656,0
13.782,45.628,9
13.782,45.629,1
13.782,45.632,4
13.782,45.633,-104
13.782,45.635,9
13.782,45.636,2
13.782,45.638,2
13.782,45.641,-3
13.782,45.642,3
13.782,45.643,1
13.782,45.644,1
13.782,45.645,0
13.782,45.646,-42
13.782,45.647,0
13.782,45.652,-39
13.782,45.653,-1
13.782,45.654,-3
13.782,45.656,3
13.782,45.657,47
13.783,45.623,11
13.783,45.626,3
13.783,45.635,3
13.783,45.638,5
13.783,45.64,-5
13.783,45.644,0
13.783,45.646,1
13.783,45.647,-104
13.783,45.648,95
13.783,45.651,2
13.783,45.652,4
13.783,45.653,-1
13.783,45.654,-1
13.783,45.655,0
13.783,45.656,2
13.783,45.657,1
13.783,45.683,0
13.784,45.622,8
13.784,45.628,-15
13.784,45.629,0
13.784,45.632,4
13.784,45.633,0
13.784,45.639,0
13.784,45.64,2
13.784,45.641,-4
13.784,45.643,-2
13.784,45.644,0
13.784,45.645,0
13.784,45.648,4
13.784,45.649,7
13.784,45.65,4
13.784,45.651,3
13.784,45.653,4
13.784,45.654,-17
13.784,45.655,17
13.784,45.656,3
13.784,45.662,-1
13.785,45.626,-95
13.785,45.627,-1
13.785,45.639,75
13.785,45.64,-9
13.785,45.641,16
13.785,45.642,1
13.785,45.644,-1
13.785,45.645,6
13.785,45.647,1
13.785,45.652,2
13.785,45.653,7
13.785,45.654,-5
13.785,45.657,-1
13.786,45.62,7
13.786,45.624,-1
13.786,45.629,-1
13.786,45.635,7
13.786,45.64,0
13.786,45.642,75
13.786,45.644,-67
13.786,45.647,7
13.786,45.648,-5
13.786,45.649,3
13.786,45.653,1
13.786,45.654,3
13.786,45.657,-11
13.786,45.663,7
13.786,45.667,2
13.787,45.614,1
13.787,45.619,-8
13.787,45.621,48
13.787,45.629,-72
13.787,45.631,2
13.787,45.632,-9
13.787,45.633,1
13.787,45.635,0
13.787,45.638,1
13.787,45.641,0
13.787,45.642,-2
13.787,45.643,2
13.787,45.644,-10
13.787,45.646,7
13.787,45.647,74
13.787,45.654,-2
13.787,45.655,1
13.787,45.656,1
13.787,45.687,1
13.787,45.691,1
13.787,45.724,0
13.788,45.593,0
13.788,45.619,-1
13.788,45.62,-2
13.788,45.622,0
13.788,45.629,1
13.788,45.63,0
13.788,45.631,-2
13.788,45.637,4
13.788,45.64,0
13.788,45.641,48
13.788,45.643,1
13.788,45.645,7
13.788,45.646,-1
13.788,45.647,1
13.788,45.686,-72
13.788,45.687,2
13.788,45.688,-6
13.788,45.689,2
13.788,45.69,-17
13.788,45.722,2
13.789,45.619,0
13.789,45.622,10
13.789,45.623,1
13.789,45.625,0
13.789,45.631,9
13.789,45.637,0
13.789,45.639,-2
13.789,45.642,0
13.789,45.644,6
13.789,45.645,3
13.789,45.647,1
13.789,45.654,-2
13.789,45.656,0
13.789,45.657,-5
13.789,45.658,2
13.789,45.659,1
13.789,45.688,-101
13.79,45.62,11
13.79,45.621,-40
13.79,45.631,-1
13.79,45.632,3
13.79,45.637,0
13.79,45.639,3
13.79,45.64,-17
13.79,45.641,5
13.79,45.642,8
13.79,45.643,-2
13.79,45.644,2
13.79,45.654,1
13.79,45.655,1
13.79,45.658,2
13.79,45.659,75
13.79,45.661,1
13.79,45.688,-49
13.791,45.619,0
13.791,45.621,26
13.791,45.622,5
13.791,45.624,0
13.791,45.631,-5
13.791,45.641,-100
13.791,45.642,4
13.791,45.65,-1
13.791,45.655,-99
13.791,45.659,-27
13.791,45.689,2
13.791,45.694,-2
13.791,45.722,3
13.792,45.625,0
13.792,45.63,1
13.792,45.631,-3
13.792,45.651,6
13.792,45.655,2
13.792,45.721,5
13.792,45.723,1
13.793,45.626,1
13.793,45.63,0
13.793,45.64,48
13.793,45.642,-2
13.793,45.651,-104
13.793,45.654,0
13.793,45.655,1
13.793,45.658,-1
13.793,45.66,-72
13.793,45.722,15
13.794,45.621,-1
13.794,45.628,1
13.794,45.639,-33
13.794,45.64,1
13.794,45.655,-68
13.794,45.689,-9
13.795,45.617,6
13.795,45.626,-72
13.795,45.64,4
13.795,45.657,0
13.795,45.659,1
13.795,45.661,-1
13.795,45.672,1
13.795,45.682,-17
13.795,45.689,-1
13.796,45.591,3
13.796,45.617,6
13.796,45.623,-3
13.796,45.624,-1
13.796,45.625,35
13.796,45.64,6
13.796,45.648,-1
13.796,45.655,-4
13.797,45.583,23
13.797,45.587,1
13.797,45.617,1
13.797,45.637,11
13.797,45.655,-2
13.797,45.662,1
13.798,45.594,0
13.798,45.595,2
13.798,45.63,-9
13.798,45.641,-2
13.798,45.642,0
13.798,45.644,3
13.798,45.655,3
13.798,45.69,-9
13.799,45.594,1
13.799,45.601,5
13.799,45.619,0
13.799,45.64,-1
13.799,45.642,0
13.799,45.643,4
13.799,45.647,2
13.8,45.593,4
13.8,45.613,0
13.8,45.619,2
13.8,45.621,-1
13.8,45.622,4
13.8,45.654,-1
13.8,45.655,5
13.801,45.59,1
13.801,45.613,3
13.801,45.619,-4
13.801,45.621,1
13.801,45.642,-1
13.801,45.654,4
13.801,45.656,0
13.801,45.69,1
13.802,45.592,-1
13.802,45.619,-42
13.802,45.621,1
13.802,45.625,1
13.802,45.644,0
13.802,45.656,-176
13.803,45.586,0
13.803,45.592,-1
13.803,45.619,18
13.803,45.621,6
13.803,45.64,0
13.803,45.655,75
13.803,45.656,1
13.803,45.678,2
13.804,45.586,3
13.804,45.587,57
13.804,45.617,0
13.804,45.631,6
13.804,45.642,1
13.804,45.682,-5
13.805,45.59,-1
13.805,45.599,1
13.805,45.62,3
13.805,45.64,-6
13.805,45.653,-1
13.806,45.592,2
13.806,45.593,-9
13.806,45.598,0
13.806,45.601,-1
